"Genomic Location","Overlapping Gene(s)","Orientation","Query name","Query start","Query end","Query ori","Length","Score","E-val","%ID"
"CM009938.2:7226215-7226370 [Sequence]","LOC100576645","Forward","Query_1","204","255","Forward","52 [Sequence]","87","0.029","32.7 [Alignment]"
"CM009934.2:8406101-8406343 [Sequence]","LOC102654975","Forward","Query_1","230","310","Forward","81 [Sequence]","268","5.5e-40","60.5 [Alignment]"
"CM009934.2:8405996-8406097 [Sequence]","LOC102654975","Forward","Query_1","196","229","Forward","34 [Sequence]","134","5.5e-40","67.6 [Alignment]"
"CM009934.2:10605591-10605764 [Sequence]","LOC725311","Forward","Query_1","194","251","Forward","58 [Sequence]","197","9.3e-37","60.3 [Alignment]"
"CM009934.2:10605846-10606010 [Sequence]","LOC725311","Forward","Query_1","254","308","Forward","55 [Sequence]","181","9.3e-37","58.2 [Alignment]"
"CM009946.2:785288-785626 [Sequence]","LOC412187","Forward","Query_1","191","303","Forward","113 [Sequence]","345","2.4e-37","54.9 [Alignment]"
"CM009933.2:4692567-4692872 [Sequence]","LOC724810","Reverse","Query_1","196","297","Forward","102 [Sequence]","361","4.6e-41","61.8 [Alignment]"
"CM009933.2:4692451-4692510 [Sequence]","LOC724810","Reverse","Query_1","290","309","Forward","20 [Sequence]","49","4.6e-41","55.0 [Alignment]"
"CM009933.2:12035017-12035178 [Sequence]","LOC410918","Forward","Query_1","196","249","Forward","54 [Sequence]","227","2.7e-21","75.9 [Alignment]"
"CM009933.2:12026859-12027020 [Sequence]","LOC113218640, LOC113218618","Reverse","Query_1","196","249","Forward","54 [Sequence]","220","2.4e-20","74.1 [Alignment]"
"CM009933.2:12037052-12037264 [Sequence]","LOC410918","Forward","Query_1","240","310","Forward","71 [Sequence]","192","1.5e-16","46.5 [Alignment]"
"CM009933.2:12026128-12026190 [Sequence]","LOC113218640","Reverse","Query_1","196","216","Forward","21 [Sequence]","96","4.6e-10","76.2 [Alignment]"
"CM009933.2:12026054-12026140 [Sequence]","LOC113218640","Reverse","Query_1","213","241","Forward","29 [Sequence]","82","4.6e-10","58.6 [Alignment]"
"CM009932.2:2618855-2619043 [Sequence]","LOC412955","Reverse","Query_1","244","306","Forward","63 [Sequence]","180","1.4e-24","41.3 [Alignment]"
"CM009932.2:2628795-2628935 [Sequence]","LOC412955","Reverse","Query_1","198","244","Forward","47 [Sequence]","139","1.4e-24","53.2 [Alignment]"
"CM009932.2:2617841-2617966 [Sequence]","LOC412955","Reverse","Query_1","639","680","Forward","42 [Sequence]","82","1.4e-24","38.1 [Alignment]"
"CM009935.2:13492953-13493141 [Sequence]","LOC411126","Forward","Query_1","193","255","Forward","63 [Sequence]","201","4.4e-36","61.9 [Alignment]"
"CM009935.2:13493213-13493377 [Sequence]","LOC411126","Forward","Query_1","254","308","Forward","55 [Sequence]","172","4.4e-36","54.5 [Alignment]"
